#KIC,camp,KOI,Mult,period,period_err,bjd0,bjd0_err,pdepth,sdepth,pwidth,swidth,sep,morph,RA,DEC,GLon,GLat,kmag,Teff,SC,teff,teff_err1,teff_err2,logg,logg_err1,logg_err2,feh,feh_err1,feh_err2,radius,radius_err1,radius_err2,mass,mass_err1,mass_err2,jmag,hmag,kmag,parallax,parallax_error
4150611,Kepler,3156,3,1.5222786,0.0000019,54999.688801,0.003464,0.0036,-1,0.0023,-1,1,0.13,289.7425,39.2671,71.1671,11.8901,7.899,6623,True,6911,194,-242,4.038,0.406,-0.145,-1.54,0.3,-0.25,1.501,0.371,-0.603,0.897,0.069,-0.063,7.185,7.029,6.945,8.723409354841749,0.12035553797739933
3836439,Kepler,-1,1,1.5403954,0.0000019,54954.213023000004,0.017202000000000002,0.0613,0.016,0.0593,0.0507,0.4992,0.47,286.9484,38.9282,69.922,13.7184,7.57,7166,True,7394,233,-311,3.897,0.375,-0.125,-0.58,0.3,-0.3,2.283,0.438,-0.949,1.502,0.192,-0.357,7.066,6.969,6.944,6.788233598006618,0.07988427610015954
8043961,Kepler,-1,1,1.5592121,0.000002,54954.555903,0.042481,0.2267,0.1887,0.1249,0.1276,0.5003,0.63,296.7312,43.8411,77.7299,9.3198,10.736,6348,True,6649,161,-181,3.619,0.62,-0.109,-0.38,0.3,-0.3,3.177,0.465,-1.862,1.532,0.19,-0.443,9.801,9.596,9.546,1.2732134973131763,0.02255332544739956
9357275,Kepler,-1,1,1.588298,0.000002,54954.065667999996,0.025807999999999998,0.1673,0.0532,0.0853,0.079,0.5022,0.52,297.2025,45.8499,79.6778,9.9978,12.186,7545,True,7742,244,-298,4.024,0.187,-0.153,-0.16,0.2,-0.3,2.094,0.527,-0.527,1.687,0.196,-0.27,11.449,11.358,11.317,0.9401673820566137,0.02305840642168522
8553788,Kepler,-1,1,1.6061632,0.0000021000000000000002,54954.99763400001,0.029599,0.1466,0.0276,0.0972,0.0875,0.4984,0.54,289.4288,44.6414,76.0763,14.3569,12.691,8045,True,8027,63,-95,3.997,0.126,-0.073,0.07,0.15,-0.25,2.314,0.229,-0.426,1.94,0.163,-0.218,12.01,11.89,11.856,0.5751632505908435,0.020806407796384832
8262223,Kepler,-1,1,1.6130147,0.0000021000000000000002,54955.070513,0.025804,0.1558,0.0752,0.0813,0.0842,0.4991,0.53,300.3324,44.1441,79.3047,7.2283,12.146,7596,True,7832,216,-325,3.836,0.352,-0.088,-0.16,0.2,-0.35,2.779,0.383,-1.15,1.93,0.082,-0.467,11.469,11.283,11.215,0.9832346504384993,0.024162970472095185
7385478,Kepler,-1,1,1.6554776999999998,0.0000022,54954.534784,0.02947,0.1901,0.0426,0.0877,0.0728,0.4999,0.54,297.7411,42.9961,77.3468,8.2669,11.471,6477,True,6725,183,-204,3.86,0.428,-0.114,-0.52,0.3,-0.3,2.171,0.429,-1.001,1.247,0.173,-0.238,10.471,10.129,10.072,1.6622603080156348,0.0343133746980463
3443790,Kepler,1185,1,1.6657838,0.0000022,54955.20197,0.013019999999999999,0.0019,0.0009,0.0447,0.0477,0.5002,0.34,291.4763,38.5006,71.0682,10.3411,11.84,6024,True,6261,175,-159,3.686,0.323,-0.108,-0.34,0.35,-0.3,2.789,0.463,-1.079,1.378,0.215,-0.323,10.832,10.602,10.529,1.2678045158904174,0.02105274293333783
5801571,Kepler,225,1,1.6771942,0.0000022,54965.31282000001,0.011656,0.0024,0.0022,0.0398,0.0378,0.5002,0.35,294.9133,41.0747,74.6186,9.1776,14.784,6037,True,6366,70,-89,4.352,0.032,-0.12,0.16,0.15,-0.2,1.236,0.219,-0.082,1.257,0.079,-0.105,13.691,13.401,13.409,-0.5749616186129227,0.40171463467200347
8112013,Kepler,-1,1,1.7905182000000002,0.0000024,54955.194701,0.022895,0.068,0.0074,0.0694,0.0683,0.5016,0.47,296.556,43.9678,77.7807,9.4916,12.45,6350,True,6586,148,-198,4.319,0.101,-0.188,-0.32,0.25,-0.3,1.219,0.366,-0.183,1.131,0.165,-0.15,11.522,11.297,11.237,1.453803762743024,0.02290346844826917
10581918,Kepler,3807,1,1.8018631,0.0000026,55139.362915,0.033856,0.7262,0.153,0.0983,0.0907,0.5018,0.54,283.0437,47.8046,77.4451,19.6273,12.796,7252,True,7479,235,-314,3.919,0.308,-0.132,-0.3,0.25,-0.35,2.324,0.472,-0.876,1.634,0.182,-0.363,11.969,11.783,11.705,0.8263704663861076,0.023134505823352896
9101279,Kepler,5614,1,1.8114606,0.0000025,54965.932213,0.047264,0.9009,0.1262,0.1315,0.1074,0.5023,0.58,296.0016,45.4481,78.9116,10.5435,13.947,8372,True,8572,238,-374,3.776,0.412,-0.137,-0.2,0.35,-0.35,3.034,0.77,-1.431,2.009,0.342,-0.471,12.905,12.644,12.595,0.43501515498740756,0.017124336071385114
9637299,Kepler,-1,1,1.8824412,0.0000026,54965.73827,0.021286000000000003,0.3261,0.0753,0.0639,0.068,0.5002,0.44,285.7607,46.367,76.6974,17.3945,13.68,6061,True,6322,171,-190,4.211,0.264,-0.176,-0.78,0.3,-0.3,1.213,0.312,-0.312,0.872,0.104,-0.066,12.578,12.263,12.214,1.1362148061332242,0.013501974187495559
8019043,Kepler,6048,1,1.9855863999999999,0.0000028,54954.018799,0.016237,0.0706,0.0048,0.0467,0.015,0.5057,0.34,288.0875,43.8761,74.9519,14.9271,11.427,6396,True,6651,180,-180,3.6,0.33,-0.11,-0.48,0.4,-0.25,3.219,0.431,-1.208,1.503,0.223,-0.334,10.508,10.328,10.26,3.1040524050971405,0.02716134414630992
5306862,Kepler,-1,1,2.0256383000000002,0.0000028999999999999998,54954.692842,0.039337000000000004,0.0458,-1,0.0983,-1,1,0.54,299.2139,40.4584,75.6951,6.0394,12.777,6088,True,6348,170,-208,3.996,0.306,-0.165,0.12,0.25,-0.3,1.99,0.578,-0.707,1.431,0.201,-0.327,11.74,11.5,11.43,1.1524809178942375,0.02295151596488652
10291683,Kepler,-1,1,2.0437432,0.0000028999999999999998,54954.270446,0.11761500000000001,0.0077,0.0064,0.2427,0.267,0.5185,0.91,297.9296,47.3906,81.2927,10.3083,9.923,8359,True,8572,236,-372,3.776,0.412,-0.137,-0.2,0.4,-0.35,3.034,0.751,-1.288,2.009,0.371,-0.454,9.548,9.512,9.504,2.2230048440033223,0.03452246112509506
10619109,Kepler,-1,1,2.0451826,0.0000028999999999999998,54955.136772000005,0.040497000000000005,0.2688,0.0434,0.1032,0.1087,0.5008,0.55,298.3713,47.8139,81.8159,10.2553,11.704,7028,True,7128,256,-342,3.95,0.322,-0.138,-0.34,0.3,-0.3,2.135,0.526,-0.789,1.479,0.217,-0.325,10.683,10.306,10.241,1.269488086769739,0.031230657260398514
10857519,Kepler,2075,1,2.0533343,0.0000028999999999999998,55000.370133000004,0.023291,0.0001,-1,0.0597,-1,1,0.45,290.102,48.2511,79.6852,15.396,12.217,6145,True,6084,136,-136,4.204,0.168,-0.112,-0.06,0.15,-0.15,1.358,0.239,-0.239,1.076,0.102,-0.081,11.178,10.904,10.836,2.437580918870425,0.033466909056102216
9851944,Kepler,-1,1,2.1639017999999997,0.0000032,54955.847003999996,0.053161,0.2075,0.1899,0.1153,0.1148,0.5007,0.62,299.0406,46.6612,81.028,9.2897,11.249,6204,True,6459,155,-194,3.831,0.501,-0.118,-0.38,0.3,-0.3,2.255,0.461,-1.075,1.257,0.182,-0.273,10.261,10.071,9.997,0.9488459758734838,0.026536233999281865
6852488,Kepler,-1,1,2.1720406000000003,0.0000032,54966.937685000004,0.045232,0.1772,0.031,0.0948,0.0851,0.506,0.56,288.4731,42.3801,73.6549,14.0664,13.908,7262,True,7128,71,-85,4.105,0.115,-0.126,-0.14,0.15,-0.15,1.775,0.336,-0.28,1.461,0.116,-0.116,13.04,12.724,12.646,0.394768723601111,0.012757323806229385
4544587,Kepler,-1,1,2.1890973,0.0000032,54954.135787,0.033573,0.4479,0.324,0.0862,0.0646,0.6515,0.49,285.8864,39.6834,70.2969,14.7737,10.801,8255,True,8435,234,-368,3.99,0.228,-0.123,0.07,0.15,-0.55,2.416,0.506,-0.759,2.078,0.332,-0.498,10.577,10.523,10.482,1.3447194344545237,0.04104972169715907
11175495,Kepler,-1,1,2.190958,0.0000032,54954.037034,0.046601,-0.0311,-1,0.0773,-1,1,0.66,282.5472,48.8564,78.3915,20.2782,12.969,8070,True,8300,200,-372,3.755,0.433,-0.076,-0.26,0.2,-0.35,3.093,0.493,-1.479,1.986,0.33,-0.495,12.379,12.174,12.146,0.6751137977126174,0.026115014599279677
6629588,Kepler,-1,1,2.2644714,0.0000034,54966.783102999994,0.042076999999999996,0.201,0.0343,0.0947,0.0887,0.4991,0.55,297.7556,42.0091,76.4864,7.7685,13.983,6520,True,6782,214,-262,4.014,0.312,-0.144,-0.54,0.3,-0.3,1.752,0.433,-0.595,1.155,0.189,-0.17,12.852,12.565,12.494,0.4678262945656671,0.021616338867874608
11099351,Kepler,6234,1,2.3779548999999998,0.0000036000000000000003,54956.044784000005,0.01642,0.0045,-1,0.0371,-1,1,0.29,298.2774,48.6408,82.5184,10.7142,11.639,9353,True,9565,302,-416,4.088,0.171,-0.209,0.07,0.15,-0.6,2.286,0.841,-0.688,2.335,0.366,-0.679,11.291,11.253,11.228,0.9167271307911379,0.03101444212857884
10191056,Kepler,5774,1,2.4274949,0.0000038,54955.03146900001,0.034813,0.182,0.1831,0.0803,0.0771,0.5013,0.53,283.8663,47.2283,77.0657,18.9113,10.811,6588,True,6791,189,-260,4.137,0.185,-0.185,-0.24,0.25,-0.3,1.619,0.492,-0.403,1.32,0.194,-0.216,9.955,9.706,9.671,1.631263114433502,0.02132495944549061
